epoch,lstm_loss,lstm_val_loss
1,0.014521035365760326,0.013583976775407791
2,0.0028690239414572716,0.004668278153985739
3,0.0021607037633657455,0.0034562740474939346
4,0.001955298939719796,0.0047661191783845425
5,0.0018299937946721911,0.0030586158391088247
6,0.0016734307864680886,0.005810449365526438
7,0.0016100771026685834,0.003180757164955139
8,0.0015496298437938094,0.003039700211957097
9,0.001557675190269947,0.005057618021965027
10,0.0014372910372912884,0.0036867130547761917
11,0.0013929209671914577,0.00325371534563601
12,0.0013542704982683063,0.005733910016715527
13,0.0013392440741881728,0.0030273599550127983
14,0.0012631837744265795,0.0037821922451257706
15,0.0012811527121812105,0.003650078782811761
16,0.001321537303738296,0.005137864500284195
17,0.00127760402392596,0.0041248369961977005
18,0.0013219451066106558,0.004430519416928291
